country,code,continent,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Azerbaijan,AZE,Europe,0.05383971232,0.05293946883,0.05227158585,0.05178548585,0.05142135787,0.05115849158,0.0511978651,0.05139836536,0.05166831813,0.05186112584,0.05191075333,0.05204415452,0.05186298098,0.0515186344,0.05122047966,0.0510599233,0.05117440183,0.05139845004,0.05155935897,0.0513868917,0.05077341938,0.05026242855,0.04939178444,0.0483379303,0.04731863941,0.04646127515,0.04600824385,0.04560615072,0.04541003784,0.04564093937,0.04641346557,0.04751423463,0.04895854782,0.05051661107,0.05193905489,0.05313298634,0.05446373825,0.05550397091,0.05640679894,0.05738210516,0.05849899361,0.06062136305,0.06278305668,0.06464653089,0.06574309276,0.06585866049,0.06534595235,0.06411359584,0.06244026291,0.06066080915,0.0589823744,0.0581902571,0.05746529825,0.05696233785,0.05689035193,0.05738112064,0.0584971303,0.06017789873
"Bahamas, The",BHS,N. America,0.03778029362,0.03687840984,0.03605791069,0.03540323404,0.03492198836,0.03450097819,0.03410628151,0.03381845107,0.03369539864,0.03371121718,0.03384626286,0.03467097657,0.03523411625,0.03571586,0.03624546864,0.03682722546,0.03766679454,0.03867871402,0.03980388362,0.04078978023,0.04151219257,0.04203420676,0.04217001475,0.04207170041,0.04198421842,0.04200914409,0.04202299158,0.04221978446,0.04252380048,0.04283122029,0.043169902,0.04381577536,0.04442123141,0.04500949606,0.04566229906,0.04647153311,0.04767962226,0.04898421438,0.05042060263,0.05192933931,0.05351304173,0.05529879427,0.057048684,0.0586959138,0.06033312043,0.06218393981,0.06363934133,0.06511006987,0.06653454783,0.06798532362,0.06951434463,0.07171111499,0.0742529681,0.07701728343,0.07995938969,0.08306060935,0.08645253967,0.08995829128
Bahrain,BHR,Asia,0.02991497719,0.02832739705,0.02634223536,0.02394184349,0.02109499308,0.01785190283,0.01874022317,0.01985586266,0.02124563301,0.02294181312,0.02499000494,0.02480119104,0.02473871397,0.02467362761,0.02445308065,0.02405990778,0.02322803011,0.02229735301,0.02144228421,0.02086651614,0.02063697595,0.02206243986,0.02344345122,0.02470147861,0.02568100838,0.0263476623,0.02532054387,0.02428208378,0.02329740629,0.02245525785,0.02182360046,0.02248879386,0.02310705485,0.02357831683,0.02385605217,0.02400749336,0.02442678704,0.02475081102,0.02483778772,0.02473352237,0.02453153259,0.02389222836,0.0234143329,0.02305476615,0.02273066875,0.02240296547,0.02178599227,0.02128988475,0.02092787482,0.02074548387,0.02079763906,0.02143210858,0.02202093958,0.02253744267,0.02295051545,0.02324371016,0.02342946917,0.02371993804
Bangladesh,BGD,Asia,0.02682323208,0.02686335408,0.02685812895,0.0267969966,0.02667397019,0.02650607144,0.02685340226,0.02710045068,0.02725551094,0.02735192808,0.02743297733,0.02805576488,0.02864583541,0.02920887156,0.0297269835,0.03018723985,0.03052286811,0.03069362027,0.03071797817,0.03064054499,0.03050025494,0.03058275467,0.03058000951,0.03048414751,0.03028930295,0.03001008639,0.03033251788,0.0306055463,0.03083597031,0.03103743086,0.0312267295,0.03176993089,0.03228193165,0.03276976512,0.03323567443,0.03368933042,0.0346545502,0.03558003156,0.03648414587,0.03738785982,0.03830664527,0.03923055264,0.04009380862,0.04092296707,0.04175310199,0.04260475558,0.04365523929,0.04463981999,0.04552951137,0.04628717235,0.04689533429,0.04789703872,0.04879536249,0.04954786434,0.05008360482,0.05038168959,0.05077477626,0.05098226571
Barbados,BRB,N. America,0.0681132247,0.06893619593,0.06950547324,0.07002530107,0.07076620038,0.07189409196,0.0736345766,0.07579208946,0.0781790817,0.08048740506,0.08257134244,0.08475430666,0.08738366723,0.09079497564,0.0948805712,0.09908793094,0.1007217795,0.1019920895,0.1031467972,0.1042611386,0.1052642014,0.1058479532,0.1057788143,0.1052224204,0.1044346828,0.1034721245,0.103012433,0.1024606868,0.1018655692,0.1013034865,0.1008587647,0.1018773323,0.1030879077,0.1043601215,0.1056000606,0.1067674621,0.1082341262,0.1097641836,0.1113976488,0.1132261399,0.1152690228,0.1157655578,0.1161788432,0.1165512125,0.1168841156,0.1172041794,0.1181759678,0.1192431649,0.1205759432,0.1223435199,0.1246561672,0.1272661181,0.1303052364,0.1337975073,0.1375937329,0.1416382553,0.1454967789,0.1495210329
Belarus,BLR,Europe,0.08365284216,0.08314436475,0.08261385874,0.08219781085,0.08205474187,0.08227735192,0.08362574996,0.0852452773,0.08702782969,0.08879096066,0.09041061947,0.09262354897,0.09450419242,0.09627771551,0.09818961654,0.1003118394,0.1024313038,0.1047099229,0.1067015223,0.1077917362,0.1077497667,0.1068133883,0.1049003682,0.1026112974,0.1007958628,0.09992952381,0.1001313353,0.100976758,0.1024197239,0.1044061947,0.1069273727,0.1103198941,0.1141797181,0.1181375134,0.1216593331,0.1244543849,0.1275552165,0.1296684788,0.1312226636,0.132870431,0.1349556746,0.1381487869,0.1416595409,0.1449036818,0.1469650096,0.1473545659,0.1473166263,0.1458592046,0.1435854485,0.1414017281,0.1398558972,0.1397864411,0.1402641134,0.1411488932,0.1422143053,0.1433534297,0.1456476396,0.1479927279
Belgium,BEL,Europe,0.1187392043,0.1202186685,0.1217110251,0.1232099395,0.1246714558,0.1260984775,0.1280723885,0.1299510666,0.1316770069,0.1331705099,0.1343966045,0.1362928689,0.1377081828,0.1387771359,0.1396737082,0.1404734356,0.142098772,0.1436882563,0.144913875,0.1452471076,0.1444505572,0.1437425284,0.1418940753,0.1396328149,0.1380059525,0.1375962285,0.1390977104,0.1416194388,0.1446899228,0.1475894264,0.1499150378,0.1525086846,0.1545501823,0.156199108,0.1577249522,0.1592897411,0.1614472389,0.163524402,0.1654797291,0.1672103402,0.1686648945,0.1700842944,0.1712131821,0.1720652578,0.1726268448,0.1729106045,0.1731496276,0.1729478528,0.1726196695,0.1726464325,0.1733402866,0.1743430851,0.1759520991,0.1779118729,0.1798094166,0.1814231365,0.1836860369,0.1857089278
Belize,BLZ,N. America,0.04148201251,0.04179381857,0.04207056601,0.04234056148,0.04245699483,0.04249003477,0.04272636652,0.04280694282,0.04283092512,0.04282204577,0.0429277635,0.0435280825,0.04401101062,0.04453416245,0.04505471909,0.0456250938,0.04578717989,0.0459087956,0.04587486058,0.04556809738,0.04490999272,0.04461054715,0.04408580858,0.04335074636,0.04259512183,0.04182608643,0.0414700887,0.04119435521,0.04110530196,0.0411186631,0.04130054598,0.0419252221,0.04270856384,0.04364019108,0.04454714043,0.04526412934,0.04394503828,0.04253494941,0.04121866912,0.04006677098,0.03907567273,0.03802983717,0.03700525541,0.03591201278,0.03476053012,0.03347959771,0.03415684427,0.03489529401,0.03576176245,0.03683954015,0.03820800478,0.03795353472,0.03773080567,0.03758196995,0.03753547118,0.03762441273,0.03803201491,0.03852610621
Benin,BEN,Africa,0.0502138079,0.0498441319,0.04922857362,0.04837586355,0.04730961169,0.04605038224,0.0464681624,0.04671395204,0.04680092707,0.04673512564,0.04652719119,0.04669599795,0.04672346625,0.04660602022,0.04633320073,0.04590273386,0.04570633188,0.04535219644,0.04487025595,0.04428294836,0.04360850272,0.04313232436,0.04257081855,0.04192552926,0.04119857035,0.04039732607,0.03993024416,0.03939992014,0.03881462542,0.03817891891,0.03750208898,0.03697000427,0.03641226054,0.03584887653,0.03530070596,0.03478384261,0.03432853773,0.03387141477,0.03342088771,0.03298570939,0.03257305507,0.03233215101,0.03207708864,0.03184073516,0.0316625643,0.03156049848,0.03173984434,0.03194307228,0.03213288481,0.03225740455,0.03229890581,0.03236786902,0.0323626089,0.03232021427,0.03228291022,0.03227718885,0.03235718888,0.03244416543
Bhutan,BTN,Asia,0.0235928487,0.02369844224,0.02376164222,0.02375632325,0.02365308804,0.02345321932,0.02360397187,0.02366030847,0.0236409495,0.02356514091,0.02344276419,0.02360308129,0.02371991385,0.02379443944,0.02382111446,0.02383265425,0.02405278665,0.02423364156,0.02437828244,0.02450741086,0.02461067717,0.0249678862,0.025305649,0.02561067519,0.02587058098,0.02608641674,0.02652230449,0.02689649247,0.0272196693,0.0275602208,0.02795004467,0.02874643578,0.02951319317,0.0302112147,0.03080330608,0.03121716449,0.03209816631,0.03294726848,0.03374127325,0.03449061328,0.03519434407,0.03577001357,0.03631437387,0.03685554525,0.03737728064,0.03788230672,0.03866247761,0.03940415571,0.04013553035,0.04090933267,0.0417334922,0.0426840961,0.04371373513,0.04478398245,0.04581375701,0.04679534561,0.04786873327,0.04884659675
Bolivia,BOL,S. America,0.04595650299,0.04528857077,0.04442331708,0.04343440925,0.04241845799,0.04141168725,0.04086288622,0.04027943476,0.03967586974,0.03905278923,0.03841267812,0.03822161109,0.03797421203,0.03768649804,0.03737611604,0.03705040488,0.03735375744,0.03762058683,0.03783342386,0.03796349067,0.03800199478,0.0384690872,0.0388901323,0.03930043155,0.03973168333,0.04020027207,0.04087225834,0.04156692033,0.04231397131,0.04314309318,0.04406115068,0.04483104162,0.04563493705,0.04644406485,0.04721627754,0.04792978828,0.04854885226,0.04911982243,0.04965417242,0.05015745391,0.05064085285,0.05120783864,0.05175744178,0.05234722068,0.05305126453,0.05390739199,0.05491356877,0.05603687317,0.05722263513,0.05839140431,0.05951256281,0.06049178918,0.06140099174,0.06232861012,0.06339120629,0.06465464551,0.06578864466,0.06703807593
Bosnia and Herzegovina,BIH,Europe,0.03442697761,0.03536244276,0.03646369198,0.03765946253,0.03885144992,0.03999813329,0.04114219628,0.04215055101,0.04307959946,0.04400605143,0.04498997082,0.04688453033,0.0486906382,0.05032952681,0.05173096499,0.05286187082,0.0543817612,0.05580613857,0.0570039143,0.05774594154,0.05793550255,0.05751790818,0.05663011598,0.05559241114,0.0548312864,0.05458627135,0.05572715074,0.0573830322,0.05959886035,0.06240928689,0.06584857986,0.07044738509,0.07550633924,0.08092761275,0.08649504054,0.09198191748,0.09576132334,0.09911974397,0.1022937033,0.1056976663,0.1095532808,0.1148370157,0.1207744464,0.1267128081,0.1315988445,0.1348665752,0.1372867822,0.1380331214,0.1379009825,0.1380853001,0.1392684851,0.1415947724,0.1447801656,0.1486449788,0.1528355845,0.1571705683,0.1613371299,0.1656903859
Botswana,BWA,Africa,0.03975582974,0.03902659661,0.03795112918,0.03670980785,0.03555446893,0.03456856277,0.03408486316,0.03368058956,0.03326527205,0.03267769135,0.03189202944,0.0313050085,0.03058418087,0.02976401149,0.0288746946,0.02792913882,0.02722488066,0.02647977523,0.02576152051,0.02511704416,0.0245865288,0.02434906881,0.02414840193,0.0240198143,0.02401736484,0.02415664099,0.02453925221,0.02504282955,0.02556885832,0.02599012857,0.02626074815,0.02657102866,0.0267200977,0.02680818068,0.02696098581,0.0272297262,0.02763300625,0.02808379157,0.02856869057,0.02906294746,0.0295595774,0.03022847,0.03087721979,0.03149463599,0.03206365172,0.03256401911,0.03318423681,0.03376333437,0.03428672423,0.03472883738,0.03508620424,0.03545879058,0.03573946485,0.03604216477,0.0365221738,0.0372596921,0.03823558167,0.03941289746
Brazil,BRA,S. America,0.03150490321,0.03198164918,0.03244345858,0.03286070936,0.0331968915,0.03344415832,0.03368517173,0.03387133831,0.03403622935,0.03421745883,0.03444000261,0.03483137409,0.03520538577,0.03556859853,0.03592590407,0.03627726808,0.03666297074,0.03699837794,0.03727961497,0.03749414856,0.03764380156,0.03782824036,0.03794838908,0.03803529196,0.03812881717,0.03826100599,0.03864760083,0.03903471966,0.0394441054,0.03990248792,0.04042532499,0.04139466834,0.04237029464,0.04331649478,0.04417848888,0.04493425901,0.04611812827,0.04719659351,0.04824939837,0.04938168779,0.0506524458,0.0522085627,0.05391160675,0.05568541392,0.05741907297,0.05906693707,0.06069761175,0.06224719331,0.06380334207,0.0654805089,0.06734380213,0.06951560841,0.07180183196,0.07422775823,0.0768207792,0.07960422992,0.08247331911,0.08552379603
Brunei Darussalam,BRN,Asia,0.03939078843,0.03906724613,0.03857410966,0.03807600239,0.03762979315,0.03726629241,0.03670468523,0.03625082227,0.03597286986,0.03580988735,0.03570684426,0.03557166645,0.03536914122,0.03517770598,0.03514302845,0.03522585993,0.03430544988,0.03324312108,0.03197669607,0.03044400392,0.02860545814,0.02858785016,0.02852596445,0.02838744956,0.02826872935,0.02823011688,0.028025042,0.02778362273,0.02746893127,0.02702434059,0.02642734316,0.02635255414,0.02627362089,0.02624303019,0.02632587859,0.02655858839,0.02598630123,0.02544882354,0.02496068567,0.02448749422,0.02398564402,0.02518545089,0.02631844482,0.02739474064,0.02850721651,0.02973233504,0.03098446995,0.0320783004,0.03294379463,0.033587651,0.03402184932,0.03494300949,0.03600268169,0.03728963117,0.03891873773,0.04095156894,0.04324473766,0.04590654938
Bulgaria,BGR,Europe,0.07575183282,0.07703385497,0.07853141654,0.08023933713,0.08211862471,0.0841674622,0.08641136771,0.08870901947,0.09107851352,0.09355891722,0.09617726402,0.09880693197,0.1013498986,0.1038124841,0.1062322951,0.1086410996,0.1113183741,0.1140401103,0.1164590734,0.1180225562,0.1184743952,0.117943336,0.1163100646,0.1143365723,0.1131105132,0.1132596035,0.1158130382,0.1193715467,0.1235184179,0.1276483693,0.131435308,0.13576983,0.1398124205,0.1436526247,0.1473856325,0.1510473328,0.1548417963,0.1583761105,0.1615170843,0.1640736441,0.1659263722,0.1685290384,0.17040635,0.1717253821,0.1727139018,0.1735403916,0.1748863508,0.1760724304,0.1773196107,0.1789632885,0.1812307563,0.1846871833,0.1887433807,0.1930754021,0.1971834476,0.2007646708,0.2047434686,0.2080091894
Burkina Faso,BFA,Africa,0.02331627354,0.02393116468,0.02444113552,0.02484833887,0.02515684786,0.02537319778,0.02605356594,0.02662427366,0.02708279161,0.02743220456,0.02768143512,0.02831892547,0.02885339199,0.02928564166,0.02961370626,0.02983681166,0.0304645956,0.03096468397,0.03134354206,0.03160939353,0.03176901476,0.03224722125,0.03264482755,0.03295465614,0.0331675705,0.03328313863,0.03339064652,0.03339933192,0.03331041651,0.03311956435,0.0328290641,0.03255881382,0.03217719307,0.03170298465,0.03114666725,0.0305209835,0.03006022032,0.02952113281,0.02892588053,0.02829623864,0.02764874256,0.02730483691,0.02692298932,0.02651379287,0.02609026513,0.02565830696,0.02552465703,0.02536398171,0.02517296783,0.02494396213,0.02467911853,0.0246120733,0.02450924543,0.02437970791,0.02423277365,0.02407873964,0.02409753115,0.02408627099
Burundi,BDI,Africa,0.02947770114,0.02972567901,0.02988386025,0.02995702265,0.02995789574,0.02988294525,0.03006226681,0.03015872181,0.03017851882,0.03012512998,0.03001962608,0.03075434381,0.03143383821,0.03205514058,0.03258483634,0.03297785588,0.03306370982,0.03304778559,0.03295724223,0.03281705126,0.03262836313,0.03261795868,0.03256852724,0.03245556932,0.03225652616,0.03197828359,0.03183949818,0.03163980612,0.03140447465,0.03115913867,0.03091452825,0.03074116283,0.03051205773,0.03023444233,0.02991531961,0.02956227531,0.02988141918,0.03015135395,0.03034340755,0.03041643972,0.03033602856,0.03015713192,0.02989496955,0.02956057237,0.02916260758,0.02870870311,0.02832917586,0.02791724442,0.0274827989,0.02703194275,0.02658501893,0.02614936593,0.02570992016,0.02533065505,0.02508908903,0.02502483021,0.02527679994,0.02562350168
Cabo Verde,CPV,Africa,0.05038801839,0.04930179262,0.0481203792,0.04681708374,0.04541515149,0.04391430596,0.04293281061,0.04185779125,0.04089177466,0.04023645856,0.04007431587,0.04189500059,0.04397937519,0.04606875332,0.0478640577,0.04913314955,0.05011474427,0.05062969826,0.05076433509,0.05056742737,0.05009122401,0.04963957723,0.0491144861,0.04848237125,0.0476604492,0.04665962059,0.04575820703,0.04468548107,0.04371024446,0.04316733496,0.04321068904,0.04319100173,0.04364922443,0.04437772009,0.04512126935,0.04578196835,0.04673836995,0.04761438109,0.0484972072,0.04952555215,0.0507333151,0.0521234303,0.05361574498,0.0550845708,0.05629896678,0.05714893787,0.05704302249,0.05662797726,0.05599087291,0.05517915821,0.054217491,0.05214272921,0.04990670825,0.04772873222,0.04593712068,0.04471273923,0.04441026021,0.04459651383
Cambodia,KHM,Asia,0.02524670722,0.02545438757,0.0255052997,0.02543700446,0.02531152162,0.02516437956,0.02540849591,0.02559338587,0.0257073493,0.02571787584,0.0256069896,0.02590522586,0.02605315615,0.02608373387,0.02608178745,0.02611838764,0.02658819083,0.02705524765,0.02743313772,0.02750976403,0.02709923795,0.02786553378,0.02816683364,0.02815908963,0.02811072601,0.02815384667,0.02816480412,0.02841007184,0.02874481936,0.02896703844,0.02900714137,0.02940968083,0.0296493147,0.02980696259,0.03001131515,0.03032160711,0.03036809741,0.03045783064,0.0305924284,0.03071871269,0.03080037004,0.03153774251,0.03218145795,0.03276160722,0.03331627036,0.03386851488,0.0345865435,0.03528243268,0.03596741301,0.03664693949,0.037334035,0.03796769351,0.03861184097,0.03931565661,0.04015954643,0.04119313285,0.04258699675,0.04412305793
Cameroon,CMR,Africa,0.03602653495,0.03634107951,0.03653645367,0.03663094901,0.03664477865,0.03659260546,0.0368152953,0.03696419219,0.03703971566,0.03703927163,0.03696530213,0.03714578563,0.03724196492,0.03726508911,0.03722340494,0.03712760625,0.03722120701,0.03724333475,0.03720122144,0.03709887882,0.03694394544,0.03694139468,0.0368599189,0.03671740496,0.03653309298,0.0363210114,0.03622927577,0.03609799076,0.03593243071,0.03573665865,0.03552106329,0.03542149069,0.03526943618,0.03507737081,0.03485864622,0.03462218318,0.03453523743,0.03439290165,0.03420515755,0.03397372436,0.03369877665,0.03369368681,0.03361851616,0.03347953006,0.03328299452,0.03303494473,0.03294935373,0.03281806109,0.03264768281,0.03244382708,0.03221507529,0.03213935837,0.03203029752,0.03189915456,0.03175872522,0.03161892331,0.0316413678,0.03165002247
Canada,CAN,N. America,0.07679894516,0.07682245088,0.07684130225,0.07689506433,0.07702680466,0.07727634922,0.07751212091,0.07792705271,0.07851132858,0.0792099106,0.07998625961,0.08091945983,0.08174066392,0.08257893995,0.08359377919,0.08485380671,0.08657066927,0.08846923853,0.09045057414,0.09235585122,0.09412471028,0.09582618474,0.09736790731,0.09888914205,0.1005792156,0.1025289877,0.1043410548,0.1063291902,0.1084290017,0.1105175134,0.1125228311,0.1141729131,0.1156270546,0.1169565792,0.1182539886,0.1195861552,0.1208135306,0.1220833222,0.1233638699,0.1245775299,0.1257037605,0.1267791223,0.1277197883,0.1286633098,0.1297861541,0.1312037324,0.1327594399,0.1344890745,0.136499789,0.1389278183,0.1418638179,0.144975101,0.1486380142,0.1527452914,0.157074218,0.1614770083,0.1657274129,0.169843492
